id,Number of reported deaths from cholera,Cholera case fatality rate,WHO Region
584,819,2.43,Africa
585,584,2.69,Africa
586,182,1.31,Africa
587,237,1.03,Africa
588,548,1.82,Africa
589,600,2.12,Africa
590,426,2.06,Africa
591,244,0,Africa
592,228,2.97,Africa
593,989,3.63,Africa
594,1979,6.25,Africa
595,390,6.81,Africa
596,941,6.28,Africa
597,783,6.16,Africa
598,2926,8.38,Africa
599,326,13.47,Africa
600,638,8.09,Africa
601,22,3.98,Africa
602,4181,7.2,Africa
603,175,17.75,Africa
604,59,3.03,Africa
605,294,7.23,Africa
606,61,13.03,Africa
607,6,6.06,Africa
608,32,10.85,Africa
609,218,18.96,Africa
610,125,11.8,Africa
611,30,4.05,Africa
612,3,1.85,Africa
613,245,8.23,Africa
614,693,6.71,Africa
615,800,33.63,Africa
616,81,7.71,Africa
617,511,9.27,Africa
618,183,5.26,Africa
619,0,0,Europe
620,0,0,Europe
621,0,0,Europe
622,0,0,Europe
623,0,0,Europe
624,0,0,Europe
625,0,0,Europe
626,1,0.79,Eastern Mediterranean
627,19,0.93,Eastern Mediterranean
628,27,2.48,Eastern Mediterranean
629,32,1.75,Eastern Mediterranean
630,3,1.83,Eastern Mediterranean
631,50,2.06,Eastern Mediterranean
632,15,1.34,Eastern Mediterranean
633,99,0.98,Eastern Mediterranean
634,7,6.09,Eastern Mediterranean
635,2,66.67,Eastern Mediterranean
636,0,0,Eastern Mediterranean
637,0,0,Eastern Mediterranean
638,3,37.5,Eastern Mediterranean
639,81,18.41,Eastern Mediterranean
640,3,50,Eastern Mediterranean
641,27,2.3,Americas
642,15,2.7,Americas
643,11,1.8,Americas
644,42,2.15,Americas
645,68,0.86,Americas
646,336,1.61,Americas
647,0,0,Americas
648,0,0,Americas
649,,,Americas
650,0,0,Americas
651,1,3.7,Americas
652,0,0,Americas
653,37,0.99,Americas
654,3,4.62,Americas
655,12,1.13,Americas
656,23,1.06,Americas
657,16,0.9,Americas
658,72,1.05,Americas
659,208,0.65,Americas
660,697,1.5,Americas
661,2,0.32,Americas
662,0,0,Americas
663,0,0,Americas
664,2,1.1,Americas
665,2,0.07,Americas
666,38,0.32,Americas
667,14,0.21,Americas
668,45,0.52,Americas
669,34,3.59,Americas
670,0,0,Africa
671,33,0.52,Africa
672,1,1.69,Africa
673,1,0.93,Africa
674,31,7.67,Africa
675,0,0,Africa
676,9,7.56,Africa
677,0,0,Africa
678,0,0,Africa
679,0,0,Europe
680,0,0,Africa
681,0,0,Africa
682,0,0,Africa
683,0,0,Africa
684,0,0,Africa
685,16,1.49,Africa
686,13,40.63,Africa
687,2,1.49,Africa
688,107,1.91,Africa
689,16,11.35,Africa
690,0,0,Africa
691,0,0,Africa
692,0,0,Africa
693,30,1.32,Africa
694,13,2.42,Africa
695,17,7.14,Africa
696,,,Africa
697,21,1.25,Africa
698,434,1.38,Africa
699,23,0.6,Africa
700,272,1.13,Africa
701,575,1.06,Africa
702,0,0,Africa
703,0,0,Africa
704,0,0,Africa
705,124,5.67,Africa
706,72,8.47,Africa
707,0,0,Europe
708,0,0,Europe
709,,,Europe
710,0,0,Europe
711,,,Europe
712,,,Europe
713,0,0,Europe
714,0,0,Europe
715,0,0,Europe
716,0,0,Europe
717,0,0,Europe
718,0,0,Europe
